[2024-05-28 12:00:43,765] INFO [Broker id=0] Leader binance_api_perpetual_inverse_funding_btcfundperp-3 with topic id Some(S6HkO-JwTWq6MyRY_-2uvA) starts at leader epoch 0 from offset 2 with partition epoch 0, high watermark 2, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-05-28 12:00:43,765] INFO [Broker id=0] Leader gateio_api_perpetual_tta_btcposfutureperp-3 with topic id Some(NQRdfXakT4-wpuIJY-ae1Q) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-05-28 12:00:43,787] INFO [Broker id=0] Leader coinbase_ws_spot_trades_btcusd-3 with topic id Some(J76IYHVbQu60JipURtROGw) starts at leader epoch 0 from offset 3 with partition epoch 0, high watermark 3, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-05-28 12:00:43,813] INFO [Broker id=0] Leader deribit_api_future_oifunding_btc-3 with topic id Some(60JMjLzcRiKoEBj_HYEICg) starts at leader epoch 0 from offset 1 with partition epoch 0, high watermark 1, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-05-28 12:00:43,814] INFO [Broker id=0] Leader __consumer_offsets-25 with topic id Some(yi2oe6kcSyys27fbj0a4wg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-05-28 12:00:43,837] INFO [Broker id=0] Leader okx_api_option_oi_btcusd-2 with topic id Some(EbeoDoYfR8KAY-Tj242nBw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-05-28 12:00:43,860] INFO [Broker id=0] Leader binance_api_perpetual_inverse_funding_btcfundperp-2 with topic id Some(S6HkO-JwTWq6MyRY_-2uvA) starts at leader epoch 0 from offset 5 with partition epoch 0, high watermark 5, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-05-28 12:00:43,860] INFO [Broker id=0] Leader coinbase_ws_spot_trades_btcusd-4 with topic id Some(J76IYHVbQu60JipURtROGw) starts at leader epoch 0 from offset 1 with partition epoch 0, high watermark 1, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-05-28 12:00:43,883] INFO [Broker id=0] Leader gateio_api_perpetual_tta_btcposfutureperp-2 with topic id Some(NQRdfXakT4-wpuIJY-ae1Q) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-05-28 12:00:43,908] INFO [Broker id=0] Leader coinbase_ws_spot_trades_btcusd-2 with topic id Some(J76IYHVbQu60JipURtROGw) starts at leader epoch 0 from offset 1 with partition epoch 0, high watermark 1, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-05-28 12:00:43,931] INFO [Broker id=0] Leader deribit_api_future_oifunding_btc-4 with topic id Some(60JMjLzcRiKoEBj_HYEICg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-05-28 12:00:43,954] INFO [Broker id=0] Leader __consumer_offsets-29 with topic id Some(yi2oe6kcSyys27fbj0a4wg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-05-28 12:00:43,977] INFO [Broker id=0] Leader mexc_api_perpetual_oifunding_btcusdt-4 with topic id Some(KerU_Y04RKyv_jzGUIWJWA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-05-28 12:00:44,001] INFO [Broker id=0] Leader okx_api_option_oi_btcusd-0 with topic id Some(EbeoDoYfR8KAY-Tj242nBw) starts at leader epoch 0 from offset 2 with partition epoch 0, high watermark 2, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-05-28 12:00:44,002] INFO [Broker id=0] Leader __consumer_offsets-30 with topic id Some(yi2oe6kcSyys27fbj0a4wg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-05-28 12:00:44,024] INFO [Broker id=0] Leader gateio_api_perpetual_tta_btcposfutureperp-4 with topic id Some(NQRdfXakT4-wpuIJY-ae1Q) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-05-28 12:00:44,047] INFO [Broker id=0] Leader __consumer_offsets-0 with topic id Some(yi2oe6kcSyys27fbj0a4wg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-05-28 12:00:44,071] INFO [Broker id=0] Leader coinbase_ws_spot_trades_btcusd-0 with topic id Some(J76IYHVbQu60JipURtROGw) starts at leader epoch 0 from offset 3 with partition epoch 0, high watermark 3, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-05-28 12:00:44,092] INFO [Broker id=0] Leader mexc_api_perpetual_oifunding_btcusdt-3 with topic id Some(KerU_Y04RKyv_jzGUIWJWA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-05-28 12:00:44,124] INFO [Broker id=0] Leader __consumer_offsets-27 with topic id Some(yi2oe6kcSyys27fbj0a4wg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
